Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Sep 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;5
Sep 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;5
Oct 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;2
Oct 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;5
Oct 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;4
Oct 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;2
Oct 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;2
Oct 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;4
Oct 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;4
Oct 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;6
Oct 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;4
Oct 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;5
Nov 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;3
Nov 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;7
Nov 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;5
Nov 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;2
Nov 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;3
Nov 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;4
Nov 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;5
Nov 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;9
Nov 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;5
Nov 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;12
Dic 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;4
Dic 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;7
Dic 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;7
