Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Ene 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;17
Feb 2011;Ozono;Suburbana;Noreste;Juan Carlos I;38
Feb 2011;Ozono;Suburbana;Noroeste;Casa de Campo;35
Feb 2011;Ozono;Suburbana;Noroeste;El Pardo;35
Feb 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;26
Feb 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;27
Feb 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;29
Feb 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;32
Feb 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;26
Feb 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;35
Feb 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;29
Feb 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;19
Feb 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;30
Feb 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;25
Feb 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;26
Mar 2011;Ozono;Suburbana;Noreste;Juan Carlos I;64
Mar 2011;Ozono;Suburbana;Noroeste;Casa de Campo;52
Mar 2011;Ozono;Suburbana;Noroeste;El Pardo;43
Mar 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;47
Mar 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;52
Mar 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;50
Mar 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;56
Mar 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;45
Mar 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;63
Mar 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;48
Mar 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;35
Mar 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;49
Mar 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;46
Mar 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;42
Abr 2011;Ozono;Suburbana;Noreste;Juan Carlos I;79
Abr 2011;Ozono;Suburbana;Noroeste;Casa de Campo;53
Abr 2011;Ozono;Suburbana;Noroeste;El Pardo;63
Abr 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;63
Abr 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;59
Abr 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;63
Abr 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;72
Abr 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;78
Abr 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;71
Abr 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;57
Abr 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;40
Abr 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;60
Abr 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;32
Abr 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;47
May 2011;Ozono;Suburbana;Noreste;Juan Carlos I;79
May 2011;Ozono;Suburbana;Noroeste;Casa de Campo;59
May 2011;Ozono;Suburbana;Noroeste;El Pardo;64
May 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;62
May 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;58
May 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;48
May 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;66
May 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;79
May 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;71
May 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;57
May 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;38
May 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;62
May 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;42
May 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;48
Jun 2011;Ozono;Suburbana;Noreste;Juan Carlos I;80
Jun 2011;Ozono;Suburbana;Noroeste;Casa de Campo;68
Jun 2011;Ozono;Suburbana;Noroeste;El Pardo;75
Jun 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;61
Jun 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;63
Jun 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;62
Jun 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;75
Jun 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;75
Jun 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;77
Jun 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;65
Jun 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;43
Jun 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;67
Jun 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;51
Jun 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;55
Jul 2011;Ozono;Suburbana;Noreste;Juan Carlos I;82
Jul 2011;Ozono;Suburbana;Noroeste;Casa de Campo;71
Jul 2011;Ozono;Suburbana;Noroeste;El Pardo;79
Jul 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;65
Jul 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;68
Jul 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;72
Jul 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;75
Jul 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;82
Jul 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;77
Jul 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;67
Jul 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;44
Jul 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;67
Jul 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;57
Jul 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;61
Ago 2011;Ozono;Suburbana;Noreste;Juan Carlos I;77
Ago 2011;Ozono;Suburbana;Noroeste;Casa de Campo;66
Ago 2011;Ozono;Suburbana;Noroeste;El Pardo;70
Ago 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;62
Ago 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;59
Ago 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;66
Ago 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;66
Ago 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;77
Ago 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;67
Ago 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;61
Ago 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;46
Ago 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;59
Ago 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;54
Ago 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;53
Sep 2011;Ozono;Suburbana;Noreste;Juan Carlos I;64
Sep 2011;Ozono;Suburbana;Noroeste;Casa de Campo;52
Sep 2011;Ozono;Suburbana;Noroeste;El Pardo;60
Sep 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;47
Sep 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;47
Sep 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;48
Sep 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;53
Sep 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;61
Sep 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;56
Sep 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;47
Sep 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;46
Sep 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;45
