_id,Mes,Magnitud,Tipo_Estacion,Estacion,Zona,Concentraciones_medias_mensuales,Muertes_hombre,Muertes_mujer,Muertes_totales,Total_Concentraciones_medias_mensuales,Indice_Calidad_Aire_CAQI,Indice_Calidad_Aire_Europeo
6742081cd13b2ab272855d22,01/10/2014,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,49,18,13,31,47.666666666666664,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855d32,01/11/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,39,168,163,331,45.4,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855d3a,01/11/2014,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,43,18,14,32,42.333333333333336,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855d4a,01/12/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,59,190,182,372,63.4,Bueno,Razonablemente bueno
6742081cd13b2ab272855d52,01/12/2014,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,66,21,14,35,62.666666666666664,Bueno,Razonablemente bueno
6742081cd13b2ab272855d54,01/12/2014,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,60,46,31,77,71.33333333333333,Bueno,Razonablemente bueno
6742081cd13b2ab272855d5f,01/01/2015,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,42,14,16,30,60.5,Bueno,Razonablemente bueno
6742081cd13b2ab272855d62,01/01/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,67,237,273,510,71.2,Bueno,Razonablemente bueno
6742081cd13b2ab272855d6a,01/01/2015,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,70,22,26,48,66.33333333333333,Bueno,Razonablemente bueno
6742081cd13b2ab272855d6c,01/01/2015,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,63,58,66,124,78.66666666666667,Bueno,Razonablemente bueno
6742081cd13b2ab272855d77,01/02/2015,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,24,12,14,26,34.166666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855d7a,01/02/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,37,207,239,446,40.1,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855d8f,01/03/2015,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,30,11,12,23,38.5,Muy Bueno,Bueno
6742081cd13b2ab272855d92,01/03/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,44,190,208,398,46.4,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855da7,01/04/2015,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,17,9,11,20,26.166666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855daa,01/04/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,29,162,189,351,32.9,Muy Bueno,Bueno
6742081cd13b2ab272855dca,01/05/2015,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,33,16,18,34,29.333333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855def,01/07/2015,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,21,12,14,26,28.166666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855df2,01/07/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,29,200,243,443,38.9,Muy Bueno,Bueno
6742081cd13b2ab272855e0a,01/08/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,28,165,171,336,30,Muy Bueno,Bueno
6742081cd13b2ab272855e20,01/09/2015,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,18,12,14,26,18.5,Muy Bueno,Bueno
6742081cd13b2ab272855e22,01/09/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,35,143,168,311,40.3,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855e3a,01/10/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,32,170,171,341,45.9,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855e52,01/11/2015,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,50,168,184,352,61,Bueno,Razonablemente bueno
6742081cd13b2ab272855e5a,01/11/2015,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,68,16,17,33,61.666666666666664,Bueno,Razonablemente bueno
